DateKey,Date,Year,Quarter,Month,Day,WeekdayName
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
753822185923494654,2021-03-09,2021,1,3,9,Tuesday
753822185923494654,2021-03-09,2021,1,3,9,Tuesday
2076707326471014529,2021-03-16,2021,1,3,16,Tuesday
9899397523633632391,2021-03-23,2021,1,3,23,Tuesday
